Semester,Industror,Course,Section,Title,Course Count,Course Mean,Instr Count,Instr Mean,Response Percentage,Year
Fall,"Hagigi, Moshe",AC221,A1,Financial Accounting,32,3.91,32,3.84,97%,2012
Spring,"Huang, Wenli",AC221,A1,Financial Accounting,16,4.19,16,4.44,76%,2012
Summer,"Thammasiri, Wasinee",AC221,A1,Financial Accounting,41,4.12,41,4.12,93%,2012
Summer,"Kelly, Paula",AC221,A2,Financial Accounting,43,4.09,43,4.4,88%,2012
Fall,"Malik, Mahfuja",AC221,B1,Financial Accounting,15,4.07,15,4,88%,2012
Spring,"Huang, Wenli",AC221,B1,Financial Accounting,24,3.71,23,3.96,89%,2012
Summer,"Wu, Eng",AC221,B1,Financial Accounting,15,4.07,16,4.25,88%,2012
Fall,"Zhu, Julie Lei",AC221,C1,Financial Accounting,41,3.24,41,2.66,76%,2012
Spring,"Hagigi, Moshe",AC221,C1,Financial Accounting,50,4.18,50,4.32,102%,2012
Fall,"Wu, Eng",AC221,D1,Financial Accounting,46,3.37,45,3.2,84%,2012
Spring,"Huang, Wenli",AC221,D1,Financial Accounting,29,3.76,29,4.03,76%,2012
Fall,"Hagigi, Moshe",AC221,E1,Financial Accounting,51,4.22,51,4.22,91%,2012
Spring,"Kelly, Paula",AC221,E1,Financial Accounting,39,3.56,39,3.62,81%,2012
Fall,"Hagigi, Moshe",AC221,F1,Financial Accounting,49,4.14,49,4.18,92%,2012
Spring,"Hagigi, Moshe",AC221,F1,Financial Accounting,31,4.35,31,4.48,72%,2012
Fall,"Albuquerque, Ana",AC221,G1,Financial Accounting,47,4.11,47,4.36,89%,2012
Spring,"Kelly, Paula",AC221,G1,Financial Accounting,33,3.39,33,3.48,69%,2012
Fall,"Wu, Eng",AC221,H1,Financial Accounting,21,2.52,21,2.76,70%,2012
Fall,"Papadakis, George",AC221,I1,Financial Accounting,36,4.03,36,4,88%,2012
Fall,"Zhu, Julie Lei",AC221,J1,Financial Accounting,40,3.48,40,3.4,83%,2012
Fall,"Papadakis, George",AC221,K1,Financial Accounting,41,4.12,41,4.46,73%,2012
Fall,"Wang, Guannan",AC221,L1,Financial Accounting,17,3.94,17,4.65,74%,2012
Fall,"Doherty, Patricia",AC222,A1,Managerial Accounting,34,3.06,34,3.26,56%,2012
Spring,"White, James",AC222,A1,Managerial Accounting,31,4.23,31,4.45,70%,2012
Summer,"Doherty, Patricia",AC222,A1,Managerial Accounting,17,4.12,17,4.41,57%,2012
Summer,"Wilson, Raymond",AC222,A2,Managerial Accounting,38,4.39,38,4.87,86%,2012
Fall,"Asadoorian, Ann Marie",AC222,B1,Managerial Accounting,47,4.09,47,4.47,85%,2012
Spring,"Doherty, Patricia",AC222,B1,Managerial Accounting,19,3.58,19,3.84,44%,2012
Summer,"Asadoorian, Ann Marie",AC222,B1,Managerial Accounting,24,4.38,24,4.63,92%,2012
Fall,"Doherty, Patricia",AC222,C1,Managerial Accounting,62,3.53,62,3.32,89%,2012
Spring,"Doherty, Patricia",AC222,C1,Managerial Accounting,33,3.82,33,3.64,75%,2012
Fall,"White, James",AC222,D1,Managerial Accounting,38,3.89,38,4.34,73%,2012
Spring,"Doherty, Patricia",AC222,D1,Managerial Accounting,41,3.46,41,3.41,80%,2012
Fall,"Doherty, Patricia",AC222,E1,Managerial Accounting,20,4,20,3.95,83%,2012
Spring,"Asadoorian, Ann Marie",AC222,E1,Managerial Accounting,32,4.28,32,4.56,86%,2012
Spring,"Doherty, Patricia",AC222,F1,Managerial Accounting,28,4.04,28,4,88%,2012
Spring,"Wilson, Raymond",AC222,G1,Managerial Accounting,42,4.55,42,4.9,82%,2012
